col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Dennis Lee,Marwan Kreidie,Annette Thompson,Carla Cain,Luigi Borda,Jen Devor,Robin Trent,Lewis Harris Jr,Warren Bloom,Moira Bohannon,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Sandra Dungee Glenn,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Eryn Santamoor,Edwin Santana,Fareed Abdullah,Asa Khalif,Erika Almirón,Ogbonna Paul Hagins,Justin Diberardinis,Latrice Y Bryant,Billy Thompson,Fernando Treviño,Beth Finn,Joseph A Diorio,Ethelind Baylor,Hena Veit,Wayne Allen,Vinny Black,Mark Ross,Devon Cade,Wayne Edmund Dorsey,Bobbie Curry,Sherrie Cohen,All
,Omar Sabir,Lisa Deeley,Dennis Lee,Marwan Kreidie,Kahlil Williams,Annette Thompson,Carla Cain,Lewis Harris Jr,Robin Trent,Luigi Borda,Warren Bloom,Jen Devor,Moira Bohannon,Allan Domb,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Sandra Dungee Glenn,Adrián Rivera-reyes,Willie Floyd Singletary,Deja Lynn Alvarez,Billy Thompson,Eryn Santamoor,Latrice Y Bryant,Ogbonna Paul Hagins,Bobbie Curry,Mark Ross,Wayne Edmund Dorsey,Devon Cade,Edwin Santana,Beth Finn,Ethelind Baylor,Joseph A Diorio,Vinny Black,Asa Khalif,Hena Veit,Justin Diberardinis,Fareed Abdullah,Wayne Allen,Erika Almirón,Fernando Treviño,Sherrie Cohen,2
Omar Sabir,0,28,9,2,2,5,1,2,2,1,0,0,0,40,43,38,36,29,17,7,11,9,7,4,4,6,2,6,3,3,2,2,0,3,3,3,0,2,2,0,0,0,0,2
Lisa Deeley,,0,2,1,0,1,2,0,0,0,0,0,0,24,29,23,25,24,6,5,0,5,1,2,6,1,2,1,2,1,1,1,2,0,1,0,2,1,2,1,0,0,0,2
Dennis Lee,,,0,1,2,1,0,0,1,1,0,0,0,9,10,12,8,5,5,1,1,1,5,3,2,1,2,2,1,2,2,1,2,2,0,2,2,1,0,0,0,0,0,2
Marwan Kreidie,,,,2,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,5,1,2,0,2,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Kahlil Williams,,,,,0,0,0,1,1,0,0,0,0,3,2,8,6,4,2,0,2,0,1,2,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2
Annette Thompson,,,,,,0,0,0,0,0,0,0,0,2,6,5,5,1,1,0,2,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2
Carla Cain,,,,,,,0,0,0,1,0,0,0,1,2,2,0,1,2,2,1,1,1,2,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2
Lewis Harris Jr,,,,,,,,0,0,0,0,0,0,2,1,2,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
Robin Trent,,,,,,,,,0,0,0,0,0,3,1,3,2,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2
Luigi Borda,,,,,,,,,,0,0,0,0,2,2,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2
Warren Bloom,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
