col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,All
,Timika Lane,Joe Fernandes,Daniel D Mccaffery,Sierra Thomas Street,Anne Marie Coyle,Kenneth J Powell Jr,Dawn M Tancredi,Vince Giusini,Tracy B Roman,James C Crumlish,Stephanie M Sawyer,Giovanni Campbell,Rania Major,Leon A King Ii,John J O Connor Jr,Deborah D Cianfrani,Frank Bennett,Derrick W Coker,Sean P Stevens,Daine A Grey Jr,Conor Corcoran,Jon Marshall,Katie Scrivner,Fran Shields,Alan Butkovitz,Brett Mandel,Mark Zecca,All
Giovanni Campbell,,,,,,,,0,4,2,1,2,3,1,0,1,0,0,0,0,0,0,0,0,4,1,0,5
Dawn M Tancredi,,,,,,,,,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5
Kenneth J Powell Jr,,,,,,,,,,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,5
James C Crumlish,,,,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,5
Stephanie M Sawyer,,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,5
John J O Connor Jr,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
Rania Major,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5
Deborah D Cianfrani,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,5
Derrick W Coker,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,5
Frank Bennett,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5
Leon A King Ii,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,5
Conor Corcoran,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5
Fran Shields,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5
Alan Butkovitz,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5
Mark Zecca,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5
Brett Mandel,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
Total,21,17,15,14,13,9,6,6,5,5,4,4,3,2,1,1,1,1,0,0,0,0,0,0,14,4,3,5
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,6
,Joe Fernandes,Timika Lane,Vince Giusini,Tracy B Roman,Daniel D Mccaffery,Sierra Thomas Street,Anne Marie Coyle,James C Crumlish,Giovanni Campbell,Kenneth J Powell Jr,Rania Major,Stephanie M Sawyer,Dawn M Tancredi,Deborah D Cianfrani,Leon A King Ii,Frank Bennett,John J O Connor Jr,Jon Marshall,Conor Corcoran,Derrick W Coker,Daine A Grey Jr,Fran Shields,Katie Scrivner,Sean P Stevens,Alan Butkovitz,Brett Mandel,Mark Zecca,6
Joe Fernandes,0,12,11,6,10,6,7,8,3,5,6,6,4,1,1,1,1,0,1,1,0,0,0,0,11,4,0,6
Timika Lane,,0,5,7,6,8,5,3,3,5,1,1,4,0,1,1,0,1,1,1,0,0,0,0,8,3,1,6
Vince Giusini,,,0,7,5,6,7,4,2,2,4,5,0,3,0,1,1,1,0,0,0,0,0,0,8,2,0,6
