col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,All
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,Helen Gym,Wilson Alexander,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,Omar Sabir,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,All
William K Greenlee,,,,0,41,17,11,6,2,3,2,5,2,2,2,1,13,39,45,4,3,6,8
Ed Neilson,,,,,0,9,7,5,2,0,2,4,0,3,0,0,6,33,39,2,3,6,8
W Wilson Goode Jr,,,,,,2,7,6,3,5,4,7,3,2,0,0,16,13,10,5,9,3,8
Allan Domb,,,,,,,3,6,4,4,5,2,2,2,2,0,11,7,11,9,8,4,8
Sherrie Cohen,,,,,,,,0,5,4,3,3,2,2,1,2,14,3,3,4,9,3,8
Jenne Ayers,,,,,,,,,2,6,1,3,1,1,1,1,13,3,1,3,4,3,8
Wilson Alexander,,,,,,,,,,0,3,0,1,0,0,1,13,0,0,5,4,4,8
Thomas Wyatt,,,,,,,,,,,1,1,1,2,2,0,9,4,2,6,5,1,8
Helen Gym,,,,,,,,,,,,0,1,0,2,0,5,5,4,3,3,2,8
Frank Rizzo,,,,,,,,,,,,,0,0,3,1,4,3,0,1,3,1,8
Paul Steinke,,,,,,,,,,,,,,0,0,0,2,3,2,2,2,1,8
Marnie Aument Loughrey,,,,,,,,,,,,,,,0,1,4,2,0,3,2,1,8
Carla M Cain,,,,,,,,,,,,,,,,0,1,0,0,4,1,1,8
Anthony Clark,,,,,,,,,,,,,,,,,1,4,3,9,9,4,8
Omar Sabir,,,,,,,,,,,,,,,,,,1,38,1,2,3,8
Lisa M Deeley,,,,,,,,,,,,,,,,,,,0,2,0,5,8
Carol A Jenkins,,,,,,,,,,,,,,,,,,,,0,5,1,8
Tracey L Gordon,,,,,,,,,,,,,,,,,,,,,0,1,8
Will Mega,,,,,,,,,,,,,,,,,,,,,,0,8
Total,94,69,66,62,49,35,32,20,19,17,15,12,7,7,6,4,56,54,53,21,18,15,8
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,9
