col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,order,division
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,23
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,23
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,23
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,23
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,23
Total,12,11,11,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,24
,Rich Lazer,Theresa M Wright,Thaddeus Kirkland,Lindy Li,Molly Sheehan,Greg Vitali,Mary Gay Scanlon,Ashley Lunkenheimer,Margo Davidson,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,24
Rich Lazer,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24
Theresa M Wright,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24
Thaddeus Kirkland,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24
Lindy Li,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24
Molly Sheehan,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24
Greg Vitali,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24
Mary Gay Scanlon,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24
Ashley Lunkenheimer,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24
Margo Davidson,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,24
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,24
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,24
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,24
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,24
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,24
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,24
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,24
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,24
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,24
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,24
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,24
Total,21,19,9,8,6,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,24
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,25
,Rich Lazer,Theresa M Wright,Molly Sheehan,Lindy Li,Mary Gay Scanlon,Greg Vitali,Margo Davidson,Thaddeus Kirkland,Ashley Lunkenheimer,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,25
Rich Lazer,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25
Theresa M Wright,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25
Molly Sheehan,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25
Lindy Li,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25
Mary Gay Scanlon,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25
Greg Vitali,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25
Margo Davidson,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25
Thaddeus Kirkland,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25
Ashley Lunkenheimer,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,25
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,25
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,25
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,25
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,25
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,25
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,25
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,25
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,25
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,25
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,25
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,25
Total,21,17,14,8,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,26
,Theresa M Wright,Molly Sheehan,Lindy Li,Rich Lazer,Greg Vitali,Mary Gay Scanlon,Ashley Lunkenheimer,Margo Davidson,Thaddeus Kirkland,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,26
Theresa M Wright,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26
Molly Sheehan,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26
Lindy Li,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26
Rich Lazer,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26
Greg Vitali,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26
Mary Gay Scanlon,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26
Ashley Lunkenheimer,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26
Margo Davidson,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26
Thaddeus Kirkland,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,26
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,26
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,26
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,26
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,26
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,26
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,26
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,26
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,26
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,26
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,26
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,26
Total,13,9,6,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,27
,Rich Lazer,Lindy Li,Molly Sheehan,Theresa M Wright,Ashley Lunkenheimer,Mary Gay Scanlon,Greg Vitali,Margo Davidson,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Thaddeus Kirkland,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,27
Rich Lazer,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27
Lindy Li,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27
Molly Sheehan,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27
Theresa M Wright,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27
Ashley Lunkenheimer,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27
Mary Gay Scanlon,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27
Greg Vitali,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27
Margo Davidson,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27
Shelly Chauncey,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27
Thaddeus Kirkland,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,27
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,27
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,27
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,27
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,27
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,27
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,27
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,27
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,27
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,27
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,27
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,27
Total,12,9,9,9,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,28
,Rich Lazer,Theresa M Wright,Molly Sheehan,Lindy Li,Greg Vitali,Mary Gay Scanlon,Ashley Lunkenheimer,Margo Davidson,Thaddeus Kirkland,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,28
Rich Lazer,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28
Theresa M Wright,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28
Molly Sheehan,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28
Lindy Li,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28
Greg Vitali,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28
Mary Gay Scanlon,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28
Ashley Lunkenheimer,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28
Margo Davidson,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28
Thaddeus Kirkland,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,28
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,28
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,28
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,28
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,28
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,28
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,28
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,28
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,28
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,28
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,28
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,28
Total,18,16,13,11,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,29
,Lindy Li,Rich Lazer,Ashley Lunkenheimer,Theresa M Wright,Molly Sheehan,Thaddeus Kirkland,Greg Vitali,Margo Davidson,Mary Gay Scanlon,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,29
Lindy Li,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29
Rich Lazer,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29
Ashley Lunkenheimer,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29
Theresa M Wright,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29
Molly Sheehan,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29
Thaddeus Kirkland,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29
Greg Vitali,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29
Margo Davidson,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29
Mary Gay Scanlon,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,29
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,29
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,29
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,29
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,29
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,29
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,29
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,29
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,29
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,29
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,29
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,29
Total,11,11,8,6,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,30
,Rhea Powell,Tom Young,Mariel J K Martin,Andi Perez,Amanda Mcillmurray,Micah Mahjoubian,Joe Celentano,Marylouise Isaacson,Darrell L Clarke,Noam Kugelmass,Matthew D Myers,Judi Golding Baker,Jon Geeting,Rich Lazer,Lindy Li,Theresa M Wright,Molly Sheehan,Margo Davidson,Mary Gay Scanlon,Thaddeus Kirkland,Ashley Lunkenheimer,Greg Vitali,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,2,30
Rhea Powell,0,19,12,16,17,13,15,14,12,14,6,10,6,11,9,5,2,2,3,1,0,1,0,0,0,0,3,30
Tom Young,,0,15,16,16,16,16,10,12,14,9,9,6,12,5,4,5,1,2,2,1,0,0,0,0,0,4,30
Mariel J K Martin,,,0,16,14,11,10,14,11,9,11,9,7,7,6,2,4,4,1,0,0,0,0,0,0,0,5,30
Andi Perez,,,,0,16,11,10,14,16,9,12,10,6,9,4,1,3,3,3,0,0,0,0,0,0,0,6,30
Amanda Mcillmurray,,,,,0,12,11,12,11,10,8,13,5,7,5,1,4,1,3,1,0,0,0,0,0,0,7,30
Micah Mahjoubian,,,,,,0,10,9,10,11,6,6,5,9,5,2,3,1,1,0,0,0,0,0,0,0,8,30
Joe Celentano,,,,,,,0,10,9,11,7,5,6,7,3,4,3,1,3,0,0,0,0,0,0,0,9,30
Marylouise Isaacson,,,,,,,,0,12,8,9,8,6,8,4,0,4,3,2,0,0,0,0,0,0,0,10,30
Darrell L Clarke,,,,,,,,,0,8,12,6,3,9,0,1,3,4,2,0,0,0,0,0,0,0,11,30
Noam Kugelmass,,,,,,,,,,0,3,6,3,6,3,2,2,2,0,1,0,0,0,0,0,0,12,30
Matthew D Myers,,,,,,,,,,,0,6,4,8,1,0,3,2,2,0,0,0,0,0,0,0,13,30
Judi Golding Baker,,,,,,,,,,,,0,3,7,4,0,3,0,0,0,0,0,0,0,0,0,14,30
Jon Geeting,,,,,,,,,,,,,0,5,1,0,2,0,1,0,0,0,0,0,0,0,15,30
Rich Lazer,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,16,30
Lindy Li,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,30
Theresa M Wright,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,18,30
Molly Sheehan,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,19,30
Margo Davidson,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,20,30
Mary Gay Scanlon,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,21,30
Thaddeus Kirkland,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,22,30
Ashley Lunkenheimer,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,30
Greg Vitali,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,30
Dan Muroff,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,30
David Wertime,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,30
Larry Arata,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,30
Shelly Chauncey,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,30
Total,35,33,25,24,23,22,21,21,20,17,16,14,9,20,13,10,7,6,5,3,1,1,0,0,0,0,29,30
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,31
,Rich Lazer,Lindy Li,Molly Sheehan,Theresa M Wright,Larry Arata,Mary Gay Scanlon,Thaddeus Kirkland,Greg Vitali,Margo Davidson,Ashley Lunkenheimer,Dan Muroff,David Wertime,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,31
Rich Lazer,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31
Lindy Li,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31
Molly Sheehan,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31
Theresa M Wright,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31
Larry Arata,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31
Mary Gay Scanlon,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31
Thaddeus Kirkland,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31
Greg Vitali,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31
Margo Davidson,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31
Ashley Lunkenheimer,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31
Dan Muroff,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31
David Wertime,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,31
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,31
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,31
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,31
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,31
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,31
