col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,16
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,16
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,16
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,16
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,16
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,16
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,16
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,16
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,16
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,16
Rhea Powell,,,,,,,,,,,,,,0,0,16,16
Tom Young,,,,,,,,,,,,,,,0,17,16
Total,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,17
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,17
